file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
FIB2/HE.FIB2..HHN__20250105T135350Z__20250105T135450Z.mseed,HE,FIB2,0,0,0,0,2025-01-05 13:53:54.870000,0.734,,,2025-01-05 13:53:50.000000,2025-01-05 13:54:50.000000,eqcct_noise_th0_1/20250105T135350Z_20250105T135450Z/FIB2_outputs/X_prediction_results.csv
HEF/HE.HEF..HHZ__20250105T143803Z__20250105T143903Z.mseed,HE,HEF,0,0,0,0,2025-01-05 14:38:07.490000,0.136,,,2025-01-05 14:38:03.000000,2025-01-05 14:39:03.000000,eqcct_noise_th0_1/20250105T143803Z_20250105T143903Z/HEF_outputs/X_prediction_results.csv
FIC1/HE.FIC1..HHN__20250105T151534Z__20250105T151634Z.mseed,HE,FIC1,0,0,0,0,,,2025-01-05 15:15:57.300000,0.504,2025-01-05 15:15:34.000000,2025-01-05 15:16:34.000000,eqcct_noise_th0_1/20250105T151534Z_20250105T151634Z/FIC1_outputs/X_prediction_results.csv
KAF/HE.KAF..HHN__20250105T151841Z__20250105T151941Z.mseed,HE,KAF,0,0,0,0,2025-01-05 15:18:45.420000,0.226,,,2025-01-05 15:18:41.000000,2025-01-05 15:19:41.000000,eqcct_noise_th0_1/20250105T151841Z_20250105T151941Z/KAF_outputs/X_prediction_results.csv
FIC4/HE.FIC4..HHE__20250105T161147Z__20250105T161247Z.mseed,HE,FIC4,0,0,0,0,2025-01-05 16:11:51.770000,0.15,,,2025-01-05 16:11:47.000000,2025-01-05 16:12:47.000000,eqcct_noise_th0_1/20250105T161147Z_20250105T161247Z/FIC4_outputs/X_prediction_results.csv
KU2/HE.KU2..SHN__20250105T184403Z__20250105T184503Z.mseed,HE,KU2,0,0,0,0,2025-01-05 18:44:09.260000,0.147,,,2025-01-05 18:44:03.000000,2025-01-05 18:45:03.000000,eqcct_noise_th0_1/20250105T184403Z_20250105T184503Z/KU2_outputs/X_prediction_results.csv
KEV/HE.KEV..HHN__20250105T204110Z__20250105T204210Z.mseed,HE,KEV,0,0,0,0,2025-01-05 20:42:19.220000,0.127,,,2025-01-05 20:41:10.000000,2025-01-05 20:42:10.000000,eqcct_noise_th0_1/20250105T204110Z_20250105T204210Z/KEV_outputs/X_prediction_results.csv
KEV/HE.KEV..HHE__20250105T213911Z__20250105T214011Z.mseed,HE,KEV,0,0,0,0,2025-01-05 21:39:15.170000,0.607,,,2025-01-05 21:39:11.000000,2025-01-05 21:40:11.000000,eqcct_noise_th0_1/20250105T213911Z_20250105T214011Z/KEV_outputs/X_prediction_results.csv
KMNF/FN.KMNF..HHN__20250105T235235Z__20250105T235335Z.mseed,FN,KMNF,0,0,0,0,2025-01-05 23:53:46.830000,0.123,,,2025-01-05 23:52:35.000000,2025-01-05 23:53:35.000000,eqcct_noise_th0_1/20250105T235235Z_20250105T235335Z/KMNF_outputs/X_prediction_results.csv
VRF/HE.VRF..HHN__20250106T004606Z__20250106T004706Z.mseed,HE,VRF,0,0,0,0,2025-01-06 00:46:10.650000,0.326,,,2025-01-06 00:46:06.000000,2025-01-06 00:47:06.000000,eqcct_noise_th0_1/20250106T004606Z_20250106T004706Z/VRF_outputs/X_prediction_results.csv
TRE03/HE.TRE03..CHE__20250106T013247Z__20250106T013347Z.mseed,HE,TRE03,0,0,0,0,2025-01-06 01:32:51.564000,0.18,,,2025-01-06 01:32:47.000000,2025-01-06 01:33:47.000000,eqcct_noise_th0_1/20250106T013247Z_20250106T013347Z/TRE03_outputs/X_prediction_results.csv
KLF/FN.KLF..HHN__20250106T025459Z__20250106T025559Z.mseed,FN,KLF,0,0,0,0,2025-01-06 02:56:09.340000,0.113,,,2025-01-06 02:54:59.000000,2025-01-06 02:55:59.000000,eqcct_noise_th0_1/20250106T025459Z_20250106T025559Z/KLF_outputs/X_prediction_results.csv
KPF/HE.KPF..HHE__20250106T070218Z__20250106T070318Z.mseed,HE,KPF,0,0,0,0,2025-01-06 07:02:22.370000,0.164,,,2025-01-06 07:02:18.000000,2025-01-06 07:03:18.000000,eqcct_noise_th0_1/20250106T070218Z_20250106T070318Z/KPF_outputs/X_prediction_results.csv
TRE03/HE.TRE03..CHZ__20250106T085431Z__20250106T085531Z.mseed,HE,TRE03,0,0,0,0,2025-01-06 08:54:36.204000,0.657,2025-01-06 08:54:41.194000,0.784,2025-01-06 08:54:31.000000,2025-01-06 08:55:31.000000,eqcct_noise_th0_1/20250106T085431Z_20250106T085531Z/TRE03_outputs/X_prediction_results.csv
FIC2/HE.FIC2..HHN__20250106T095158Z__20250106T095258Z.mseed,HE,FIC2,0,0,0,0,2025-01-06 09:52:02.040000,0.466,2025-01-06 09:52:03.830000,0.321,2025-01-06 09:51:58.000000,2025-01-06 09:52:58.000000,eqcct_noise_th0_1/20250106T095158Z_20250106T095258Z/FIC2_outputs/X_prediction_results.csv
RAJF/FN.RAJF..HHE__20250106T102829Z__20250106T102929Z.mseed,FN,RAJF,0,0,0,0,2025-01-06 10:29:38.560000,0.108,,,2025-01-06 10:28:29.000000,2025-01-06 10:29:29.000000,eqcct_noise_th0_1/20250106T102829Z_20250106T102929Z/RAJF_outputs/X_prediction_results.csv
KU2/HE.KU2..SHN__20250106T112544Z__20250106T112644Z.mseed,HE,KU2,0,0,0,0,2025-01-06 11:25:49.158000,0.277,,,2025-01-06 11:25:44.000000,2025-01-06 11:26:44.000000,eqcct_noise_th0_1/20250106T112544Z_20250106T112644Z/KU2_outputs/X_prediction_results.csv
KMNF/FN.KMNF..BHN__20250106T123424Z__20250106T123524Z.mseed,FN,KMNF,0,0,0,0,2025-01-06 12:35:35.000000,0.111,,,2025-01-06 12:34:24.000000,2025-01-06 12:35:24.000000,eqcct_noise_th0_1/20250106T123424Z_20250106T123524Z/KMNF_outputs/X_prediction_results.csv
KEV/HE.KEV..HHZ__20250106T185445Z__20250106T185545Z.mseed,HE,KEV,0,0,0,0,2025-01-06 18:55:56.850000,0.107,,,2025-01-06 18:54:45.000000,2025-01-06 18:55:45.000000,eqcct_noise_th0_1/20250106T185445Z_20250106T185545Z/KEV_outputs/X_prediction_results.csv
AAL/UP.AAL..HHE__20250106T192255Z__20250106T192355Z.mseed,UP,AAL,0,0,0,0,2025-01-06 19:24:05.040000,0.137,,,2025-01-06 19:22:55.000000,2025-01-06 19:23:55.000000,eqcct_noise_th0_1/20250106T192255Z_20250106T192355Z/AAL_outputs/X_prediction_results.csv
RAF/HE.RAF..HHN__20250106T225313Z__20250106T225413Z.mseed,HE,RAF,0,0,0,0,2025-01-06 22:53:17.490000,0.133,,,2025-01-06 22:53:13.000000,2025-01-06 22:54:13.000000,eqcct_noise_th0_1/20250106T225313Z_20250106T225413Z/RAF_outputs/X_prediction_results.csv
KORF/HE.KORF..CHN__20250107T005400Z__20250107T005500Z.mseed,HE,KORF,0,0,0,0,2025-01-07 00:54:05.076000,0.308,2025-01-07 00:54:13.586000,0.437,2025-01-07 00:54:00.000000,2025-01-07 00:55:00.000000,eqcct_noise_th0_1/20250107T005400Z_20250107T005500Z/KORF_outputs/X_prediction_results.csv
KMNF/FN.KMNF..HHE__20250107T012155Z__20250107T012255Z.mseed,FN,KMNF,0,0,0,0,2025-01-07 01:21:59.010000,0.121,,,2025-01-07 01:21:55.000000,2025-01-07 01:22:55.000000,eqcct_noise_th0_1/20250107T012155Z_20250107T012255Z/KMNF_outputs/X_prediction_results.csv
HEF/HE.HEF..HHN__20250107T012810Z__20250107T012910Z.mseed,HE,HEF,0,0,0,0,2025-01-07 01:28:14.310000,0.49,,,2025-01-07 01:28:10.000000,2025-01-07 01:29:10.000000,eqcct_noise_th0_1/20250107T012810Z_20250107T012910Z/HEF_outputs/X_prediction_results.csv
HEF/HE.HEF..HHN__20250107T012810Z__20250107T012910Z.mseed,HE,HEF,0,0,0,0,2025-01-07 01:29:20.300000,0.109,,,2025-01-07 01:28:10.000000,2025-01-07 01:29:10.000000,eqcct_noise_th0_1/20250107T012810Z_20250107T012910Z/HEF_outputs/X_prediction_results.csv
OBF0/HE.OBF0..SHN__20250107T013545Z__20250107T013645Z.mseed,HE,OBF0,0,0,0,0,2025-01-07 01:35:49.768000,0.106,,,2025-01-07 01:35:45.000000,2025-01-07 01:36:45.000000,eqcct_noise_th0_1/20250107T013545Z_20250107T013645Z/OBF0_outputs/X_prediction_results.csv
KORF/HE.KORF..CHN__20250107T030032Z__20250107T030132Z.mseed,HE,KORF,0,0,0,0,2025-01-07 03:00:36.774000,0.708,2025-01-07 03:00:47.564000,0.729,2025-01-07 03:00:32.000000,2025-01-07 03:01:32.000000,eqcct_noise_th0_1/20250107T030032Z_20250107T030132Z/KORF_outputs/X_prediction_results.csv
