file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt
OBF0/HE.OBF0..HHN__20250108T105033Z__20250108T105133Z.mseed,HE,OBF0,0,0,0,0,2025-01-08 10:51:45.816000,0.004,,,2025-01-08 10:50:33,2025-01-08 10:51:33
OUF/HE.OUF..HHZ__20250108T105039Z__20250108T105139Z.mseed,HE,OUF ,0,0,0,0,2025-01-08 10:50:44.050000,0.226,,,2025-01-08 10:50:39,2025-01-08 10:51:39
ALAJF/HE.ALAJF..HHZ__20250108T105046Z__20250108T105146Z.mseed,HE,ALAJF,0,0,0,0,2025-01-08 10:50:50.312000,0.118,,,2025-01-08 10:50:46,2025-01-08 10:51:46
TOF/HE.TOF..HHZ__20250108T105052Z__20250108T105152Z.mseed,HE,TOF ,0,0,0,0,2025-01-08 10:50:54.880000,0.35,,,2025-01-08 10:50:52,2025-01-08 10:51:52
KLF/FN.KLF..HHZ__20250108T183519Z__20250108T183619Z.mseed,FN,KLF ,0,0,0,0,2025-01-08 18:35:23.830000,0.037,,,2025-01-08 18:35:19,2025-01-08 18:36:19
KIF/HE.KIF..HHN__20250108T183544Z__20250108T183644Z.mseed,HE,KIF ,0,0,0,0,2025-01-08 18:35:48.830000,0.62,2025-01-08 18:35:53.740000,0.594,2025-01-08 18:35:44,2025-01-08 18:36:44
HEF/HE.HEF..HHZ__20250108T183546Z__20250108T183646Z.mseed,HE,HEF ,0,0,0,0,2025-01-08 18:35:50.870000,0.43,2025-01-08 18:35:53.180000,0.407,2025-01-08 18:35:46,2025-01-08 18:36:46
HEF/HE.HEF..HHZ__20250108T183546Z__20250108T183646Z.mseed,HE,HEF ,0,0,0,0,2025-01-08 18:36:55.830000,0.002,,,2025-01-08 18:35:46,2025-01-08 18:36:46
OBF8/HE.OBF8..HHZ__20250109T034013Z__20250109T034113Z.mseed,HE,OBF8,0,0,0,0,2025-01-09 03:40:18.968000,0.001,,,2025-01-09 03:40:13,2025-01-09 03:41:13
OBF0/HE.OBF0..HHE__20250109T034019Z__20250109T034119Z.mseed,HE,OBF0,0,0,0,0,2025-01-09 03:40:23.844000,0.843,2025-01-09 03:40:44.454000,0.481,2025-01-09 03:40:19,2025-01-09 03:41:19
VAF/HE.VAF..HHE__20250109T034019Z__20250109T034119Z.mseed,HE,VAF ,0,0,0,0,2025-01-09 03:40:24.850000,0.706,2025-01-09 03:40:45.710000,0.39,2025-01-09 03:40:19,2025-01-09 03:41:19
OUF/HE.OUF..HHZ__20250109T034023Z__20250109T034123Z.mseed,HE,OUF ,0,0,0,0,2025-01-09 03:40:27.280000,0.512,2025-01-09 03:40:50.920000,0.134,2025-01-09 03:40:23,2025-01-09 03:41:23
OBF3/HE.OBF3..HHE__20250109T034024Z__20250109T034124Z.mseed,HE,OBF3,0,0,0,0,2025-01-09 03:40:28.108000,0.493,2025-01-09 03:40:52.118000,0.58,2025-01-09 03:40:24,2025-01-09 03:41:24
ALAJF/HE.ALAJF..HHN__20250109T034048Z__20250109T034148Z.mseed,HE,ALAJF,0,0,0,0,2025-01-09 03:40:52.632000,0.5,2025-01-09 03:40:54.822000,0.782,2025-01-09 03:40:48,2025-01-09 03:41:48
TOF/HE.TOF..HHN__20250110T124349Z__20250110T124449Z.mseed,HE,TOF ,0,0,0,0,2025-01-10 12:43:54.900000,0.851,2025-01-10 12:44:07.850000,0.461,2025-01-10 12:43:49,2025-01-10 12:44:49
KLF/FN.KLF..HHZ__20250110T124351Z__20250110T124451Z.mseed,FN,KLF ,0,0,0,0,2025-01-10 12:43:56.750000,0.942,2025-01-10 12:44:10.920000,0.602,2025-01-10 12:43:51,2025-01-10 12:44:51
RNF/FN.RNF..HHZ__20250110T124400Z__20250110T124500Z.mseed,FN,RNF ,0,0,0,0,2025-01-10 12:44:05.920000,0.719,2025-01-10 12:44:26.220000,0.488,2025-01-10 12:44:00,2025-01-10 12:45:00
RANF/FN.RANF..HHZ__20250110T124407Z__20250110T124507Z.mseed,FN,RANF,0,0,0,0,2025-01-10 12:44:11.300000,0.735,2025-01-10 12:44:36.520000,0.093,2025-01-10 12:44:07,2025-01-10 12:45:07
HEF/HE.HEF..HHE__20250110T124407Z__20250110T124507Z.mseed,HE,HEF ,0,0,0,0,2025-01-10 12:44:11.910000,0.806,2025-01-10 12:44:41.190000,0.024,2025-01-10 12:44:07,2025-01-10 12:45:07
SGF/FN.SGF..HHE__20250110T124407Z__20250110T124507Z.mseed,FN,SGF ,0,0,0,0,2025-01-10 12:44:11.200000,0.015,,,2025-01-10 12:44:07,2025-01-10 12:45:07
OBF3/HE.OBF3..HHN__20250110T124432Z__20250110T124532Z.mseed,HE,OBF3,0,0,0,0,2025-01-10 12:44:36.720000,0.156,,,2025-01-10 12:44:32,2025-01-10 12:45:32
OBF3/HE.OBF3..HHN__20250110T124432Z__20250110T124532Z.mseed,HE,OBF3,0,0,0,0,2025-01-10 12:45:42.720000,0.005,,,2025-01-10 12:44:32,2025-01-10 12:45:32
OUL/FN.OUL..HHN__20250110T124434Z__20250110T124534Z.mseed,FN,OUL ,0,0,0,0,2025-01-10 12:44:38.970000,0.597,,,2025-01-10 12:44:34,2025-01-10 12:45:34
TOF/HE.TOF..HHZ__20250112T094227Z__20250112T094327Z.mseed,HE,TOF ,0,0,0,0,2025-01-12 09:42:32.060000,0.815,2025-01-12 09:42:38.180000,0.381,2025-01-12 09:42:27,2025-01-12 09:43:27
OBF3/HE.OBF3..HHZ__20250112T094239Z__20250112T094339Z.mseed,HE,OBF3,0,0,0,0,2025-01-12 09:42:43.288000,0.626,2025-01-12 09:42:59.458000,0.15,2025-01-12 09:42:39,2025-01-12 09:43:39
OUL/FN.OUL..HHZ__20250112T094241Z__20250112T094341Z.mseed,FN,OUL ,0,0,0,0,2025-01-12 09:42:46.440000,0.813,2025-01-12 09:43:03.410000,0.29,2025-01-12 09:42:41,2025-01-12 09:43:41
OBF0/HE.OBF0..HHN__20250112T094243Z__20250112T094343Z.mseed,HE,OBF0,0,0,0,0,2025-01-12 09:42:47.448000,0.862,,,2025-01-12 09:42:43,2025-01-12 09:43:43
OBF0/HE.OBF0..HHN__20250112T094243Z__20250112T094343Z.mseed,HE,OBF0,0,0,0,0,2025-01-12 09:43:55.528000,0.001,,,2025-01-12 09:42:43,2025-01-12 09:43:43
RNF/FN.RNF..HHZ__20250112T094243Z__20250112T094343Z.mseed,FN,RNF ,0,0,0,0,2025-01-12 09:42:47.310000,0.697,2025-01-12 09:43:05.210000,0.116,2025-01-12 09:42:43,2025-01-12 09:43:43
KLF/FN.KLF..HHZ__20250112T094243Z__20250112T094343Z.mseed,FN,KLF ,0,0,0,0,2025-01-12 09:42:48.900000,0.891,2025-01-12 09:43:08.250000,0.378,2025-01-12 09:42:43,2025-01-12 09:43:43
RANF/FN.RANF..HHE__20250112T094244Z__20250112T094344Z.mseed,FN,RANF,0,0,0,0,2025-01-12 09:42:49,0.879,2025-01-12 09:43:07.720000,0.467,2025-01-12 09:42:44,2025-01-12 09:43:44
OBF8/HE.OBF8..HHE__20250112T094244Z__20250112T094344Z.mseed,HE,OBF8,0,0,0,0,2025-01-12 09:42:48.652000,0.02,,,2025-01-12 09:42:44,2025-01-12 09:43:44
OUF/HE.OUF..HHE__20250112T094246Z__20250112T094346Z.mseed,HE,OUF ,0,0,0,0,2025-01-12 09:42:50.330000,0.577,2025-01-12 09:43:11.700000,0.037,2025-01-12 09:42:46,2025-01-12 09:43:46
SGF/FN.SGF..HHZ__20250112T094254Z__20250112T094354Z.mseed,FN,SGF ,0,0,0,0,2025-01-12 09:42:58.060000,0.67,2025-01-12 09:43:26.500000,0.041,2025-01-12 09:42:54,2025-01-12 09:43:54
SGF/FN.SGF..HHZ__20250112T094254Z__20250112T094354Z.mseed,FN,SGF ,0,0,0,0,2025-01-12 09:44:35.540000,0.001,,,2025-01-12 09:42:54,2025-01-12 09:43:54
TOF/HE.TOF..HHZ__20250112T172640Z__20250112T172740Z.mseed,HE,TOF ,0,0,0,0,2025-01-12 17:26:45.020000,0.889,2025-01-12 17:26:54.890000,0.609,2025-01-12 17:26:40,2025-01-12 17:27:40
OBF3/HE.OBF3..HHN__20250112T172646Z__20250112T172746Z.mseed,HE,OBF3,0,0,0,0,2025-01-12 17:26:51.204000,0.769,2025-01-12 17:27:06.684000,0.045,2025-01-12 17:26:46,2025-01-12 17:27:46
OUL/FN.OUL..HHN__20250112T172651Z__20250112T172751Z.mseed,FN,OUL ,0,0,0,0,2025-01-12 17:26:55.380000,0.338,,,2025-01-12 17:26:51,2025-01-12 17:27:51
OUF/HE.OUF..HHZ__20250112T172652Z__20250112T172752Z.mseed,HE,OUF ,0,0,0,0,2025-01-12 17:26:56.510000,0.046,,,2025-01-12 17:26:52,2025-01-12 17:27:52
RNF/FN.RNF..HHE__20250112T172655Z__20250112T172755Z.mseed,FN,RNF ,0,0,0,0,2025-01-12 17:27:00.320000,0.84,,,2025-01-12 17:26:55,2025-01-12 17:27:55
RANF/FN.RANF..HHE__20250112T172656Z__20250112T172756Z.mseed,FN,RANF,0,0,0,0,2025-01-12 17:27:01.100000,0.731,2025-01-12 17:27:22.370000,0.239,2025-01-12 17:26:56,2025-01-12 17:27:56
KLF/FN.KLF..HHN__20250112T172656Z__20250112T172756Z.mseed,FN,KLF ,0,0,0,0,2025-01-12 17:27:01.200000,0.765,2025-01-12 17:27:24.150000,0.193,2025-01-12 17:26:56,2025-01-12 17:27:56
OBF0/HE.OBF0..HHE__20250112T172705Z__20250112T172805Z.mseed,HE,OBF0,0,0,0,0,2025-01-12 17:27:10.510000,0.419,2025-01-12 17:27:13.960000,0.509,2025-01-12 17:27:05,2025-01-12 17:28:05
OBF0/HE.OBF0..HHE__20250112T172705Z__20250112T172805Z.mseed,HE,OBF0,0,0,0,0,2025-01-12 17:28:17.540000,0.004,,,2025-01-12 17:27:05,2025-01-12 17:28:05
KPF/HE.KPF..HHE__20250112T200742Z__20250112T200842Z.mseed,HE,KPF ,0,0,0,0,2025-01-12 20:07:46.672000,0.657,,,2025-01-12 20:07:42,2025-01-12 20:08:42
KPF/HE.KPF..HHN__20250112T200909Z__20250112T201009Z.mseed,HE,KPF ,0,0,0,0,2025-01-12 20:09:13.426000,0.533,,,2025-01-12 20:09:09,2025-01-12 20:10:09
AAL/UP.AAL..HHZ__20250113T034125Z__20250113T034225Z.mseed,UP,AAL ,0,0,0,0,2025-01-13 03:41:29.110000,0.676,2025-01-13 03:41:58.480000,0.264,2025-01-13 03:41:25,2025-01-13 03:42:25
RAF/HE.RAF..HHZ__20250113T034129Z__20250113T034229Z.mseed,HE,RAF ,0,0,0,0,2025-01-13 03:41:33.570000,0.354,,,2025-01-13 03:41:29,2025-01-13 03:42:29
KPF/HE.KPF..HHN__20250113T034205Z__20250113T034305Z.mseed,HE,KPF ,0,0,0,0,2025-01-13 03:42:09.312000,0.422,,,2025-01-13 03:42:05,2025-01-13 03:43:05
MSF/FN.MSF..HHN__20250114T150826Z__20250114T150926Z.mseed,FN,MSF ,0,0,0,0,2025-01-14 15:08:31.370000,0.957,2025-01-14 15:08:33.860000,0.887,2025-01-14 15:08:26,2025-01-14 15:09:26
KU6/HE.KU6..HHZ__20250114T150830Z__20250114T150930Z.mseed,HE,KU6 ,0,0,0,0,2025-01-14 15:08:35.670000,0.943,2025-01-14 15:08:41.370000,0.623,2025-01-14 15:08:30,2025-01-14 15:09:30
OLKF/FN.OLKF..HHE__20250114T150830Z__20250114T150930Z.mseed,FN,OLKF,0,0,0,0,2025-01-14 15:08:35.550000,0.902,2025-01-14 15:08:40.960000,0.897,2025-01-14 15:08:30,2025-01-14 15:09:30
RANF/FN.RANF..HHN__20250114T150838Z__20250114T150938Z.mseed,FN,RANF,0,0,0,0,2025-01-14 15:08:43.450000,0.441,2025-01-14 15:08:54.770000,0.512,2025-01-14 15:08:38,2025-01-14 15:09:38
RNF/FN.RNF..HHZ__20250114T150903Z__20250114T151003Z.mseed,FN,RNF ,0,0,0,0,2025-01-14 15:09:07.440000,0.021,,,2025-01-14 15:09:03,2025-01-14 15:10:03
SGF/FN.SGF..HHZ__20250114T150914Z__20250114T151014Z.mseed,FN,SGF ,0,0,0,0,2025-01-14 15:09:18.380000,0.02,,,2025-01-14 15:09:14,2025-01-14 15:10:14
SGF/FN.SGF..HHZ__20250114T150914Z__20250114T151014Z.mseed,FN,SGF ,0,0,0,0,2025-01-14 15:10:24.480000,0.002,,,2025-01-14 15:09:14,2025-01-14 15:10:14
VRF/HE.VRF..HHZ__20250114T150915Z__20250114T151015Z.mseed,HE,VRF ,0,0,0,0,2025-01-14 15:09:19.550000,0.016,,,2025-01-14 15:09:15,2025-01-14 15:10:15
