file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
KU6/HE.KU6..HHN__20250111T201440Z__20250111T201540Z.mseed,HE,KU6,0,0,0,0,2025-01-11 20:14:45.640000,0.681,2025-01-11 20:15:14.990000,0.406,2025-01-11 20:14:40.000000,2025-01-11 20:15:40.000000,eqcct_explosions_th0_1/20250111T201440Z_20250111T201540Z/KU6_outputs/X_prediction_results.csv
KEV/HE.KEV..HHZ__20250111T201453Z__20250111T201553Z.mseed,HE,KEV,0,0,0,0,2025-01-11 20:14:57.110000,0.713,,,2025-01-11 20:14:53.000000,2025-01-11 20:15:53.000000,eqcct_explosions_th0_1/20250111T201453Z_20250111T201553Z/KEV_outputs/X_prediction_results.csv
VRF/HE.VRF..HHZ__20250111T213216Z__20250111T213316Z.mseed,HE,VRF,0,0,0,0,2025-01-11 21:32:20.450000,0.746,2025-01-11 21:32:40.560000,0.224,2025-01-11 21:32:16.000000,2025-01-11 21:33:16.000000,eqcct_explosions_th0_1/20250111T213216Z_20250111T213316Z/VRF_outputs/X_prediction_results.csv
RAJF/FN.RAJF..BHN__20250111T213225Z__20250111T213325Z.mseed,FN,RAJF,0,0,0,0,2025-01-11 21:32:29.480000,0.171,,,2025-01-11 21:32:25.000000,2025-01-11 21:33:25.000000,eqcct_explosions_th0_1/20250111T213225Z_20250111T213325Z/RAJF_outputs/X_prediction_results.csv
OLKF/FN.OLKF..HHN__20250111T213226Z__20250111T213326Z.mseed,FN,OLKF,0,0,0,0,2025-01-11 21:32:31.010000,0.375,2025-01-11 21:32:59.020000,0.34,2025-01-11 21:32:26.000000,2025-01-11 21:33:26.000000,eqcct_explosions_th0_1/20250111T213226Z_20250111T213326Z/OLKF_outputs/X_prediction_results.csv
KU6/HE.KU6..HHZ__20250111T213227Z__20250111T213327Z.mseed,HE,KU6,0,0,0,0,2025-01-11 21:32:31.200000,0.491,2025-01-11 21:33:01.750000,0.283,2025-01-11 21:32:27.000000,2025-01-11 21:33:27.000000,eqcct_explosions_th0_1/20250111T213227Z_20250111T213327Z/KU6_outputs/X_prediction_results.csv
KEV/HE.KEV..HHZ__20250111T213317Z__20250111T213417Z.mseed,HE,KEV,0,0,0,0,2025-01-11 21:33:21.620000,0.639,,,2025-01-11 21:33:17.000000,2025-01-11 21:34:17.000000,eqcct_explosions_th0_1/20250111T213317Z_20250111T213417Z/KEV_outputs/X_prediction_results.csv
OBF8/HE.OBF8..HHN__20250112T005014Z__20250112T005114Z.mseed,HE,OBF8,0,0,0,0,2025-01-12 00:50:18.700000,0.433,,,2025-01-12 00:50:14.000000,2025-01-12 00:51:14.000000,eqcct_explosions_th0_1/20250112T005014Z_20250112T005114Z/OBF8_outputs/X_prediction_results.csv
OBF0/HE.OBF0..SHN__20250112T005019Z__20250112T005119Z.mseed,HE,OBF0,0,0,0,0,2025-01-12 00:50:23.346000,0.641,,,2025-01-12 00:50:19.000000,2025-01-12 00:51:19.000000,eqcct_explosions_th0_1/20250112T005019Z_20250112T005119Z/OBF0_outputs/X_prediction_results.csv
OBF3/HE.OBF3..HHE__20250112T005021Z__20250112T005121Z.mseed,HE,OBF3,0,0,0,0,2025-01-12 00:50:26.804000,0.541,,,2025-01-12 00:50:21.000000,2025-01-12 00:51:21.000000,eqcct_explosions_th0_1/20250112T005021Z_20250112T005121Z/OBF3_outputs/X_prediction_results.csv
OUF/HE.OUF..HHZ__20250112T005022Z__20250112T005122Z.mseed,HE,OUF,0,0,0,0,2025-01-12 00:50:26.790000,0.424,,,2025-01-12 00:50:22.000000,2025-01-12 00:51:22.000000,eqcct_explosions_th0_1/20250112T005022Z_20250112T005122Z/OUF_outputs/X_prediction_results.csv
VAF/HE.VAF..HHZ__20250112T005025Z__20250112T005125Z.mseed,HE,VAF,0,0,0,0,2025-01-12 00:50:30.690000,0.274,,,2025-01-12 00:50:25.000000,2025-01-12 00:51:25.000000,eqcct_explosions_th0_1/20250112T005025Z_20250112T005125Z/VAF_outputs/X_prediction_results.csv
TOF/HE.TOF..HHN__20250112T005025Z__20250112T005125Z.mseed,HE,TOF,0,0,0,0,2025-01-12 00:50:29.460000,0.371,,,2025-01-12 00:50:25.000000,2025-01-12 00:51:25.000000,eqcct_explosions_th0_1/20250112T005025Z_20250112T005125Z/TOF_outputs/X_prediction_results.csv
RAJF/FN.RAJF..BHZ__20250112T041931Z__20250112T042031Z.mseed,FN,RAJF,0,0,0,0,2025-01-12 04:19:36.870000,0.803,2025-01-12 04:19:57.990000,0.162,2025-01-12 04:19:31.000000,2025-01-12 04:20:31.000000,eqcct_explosions_th0_1/20250112T041931Z_20250112T042031Z/RAJF_outputs/X_prediction_results.csv
KEV/HE.KEV..HHE__20250112T041933Z__20250112T042033Z.mseed,HE,KEV,0,0,0,0,2025-01-12 04:19:37.950000,0.533,2025-01-12 04:19:55.870000,0.375,2025-01-12 04:19:33.000000,2025-01-12 04:20:33.000000,eqcct_explosions_th0_1/20250112T041933Z_20250112T042033Z/KEV_outputs/X_prediction_results.csv
RAJF/FN.RAJF..BHZ__20250112T161050Z__20250112T161150Z.mseed,FN,RAJF,0,0,0,0,2025-01-12 16:10:55.300000,0.793,2025-01-12 16:11:16.430000,0.449,2025-01-12 16:10:50.000000,2025-01-12 16:11:50.000000,eqcct_explosions_th0_1/20250112T161050Z_20250112T161150Z/RAJF_outputs/X_prediction_results.csv
