file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
KJNF,HE,KJNF,0,0.0,0.0,0.0,2025-01-09 19:51:21.032,0.113031,,,2025-01-09 19:51:14.000,2025-01-09 19:52:14.000,eqt_noise_th0_1/20250109T195114Z_20250109T195214Z/KJNF_outputs/X_prediction_results.csv
KJNF,HE,KJNF,0,0.0,0.0,0.0,2025-01-09 19:51:21.982,0.390303,,,2025-01-09 19:51:14.000,2025-01-09 19:52:14.000,eqt_noise_th0_1/20250109T195114Z_20250109T195214Z/KJNF_outputs/X_prediction_results.csv
KJNF,HE,KJNF,0,0.0,0.0,0.0,,,2025-01-09 19:52:01.682,0.109892,2025-01-09 19:51:14.000,2025-01-09 19:52:14.000,eqt_noise_th0_1/20250109T195114Z_20250109T195214Z/KJNF_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,,,2025-01-10 01:24:58.942,0.497357,2025-01-10 01:24:53.000,2025-01-10 01:25:53.000,eqt_noise_th0_1/20250110T012453Z_20250110T012553Z/OBF8_outputs/X_prediction_results.csv
KIF,HE,KIF,0,0.0,0.0,0.0,2025-01-10 02:03:54.090,0.182481,2025-01-10 02:03:58.550,0.805552,2025-01-10 02:03:46.000,2025-01-10 02:04:46.000,eqt_noise_th0_1/20250110T020346Z_20250110T020446Z/KIF_outputs/X_prediction_results.csv
KMNF,FN,KMNF,0,0.0,0.0,0.0,2025-01-10 16:02:36.410,0.124922,,,2025-01-10 16:01:47.000,2025-01-10 16:02:47.000,eqt_noise_th0_1/20250110T160147Z_20250110T160247Z/KMNF_outputs/X_prediction_results.csv
KMNF,FN,KMNF,0,0.0,0.0,0.0,2025-01-10 16:02:35.190,0.129626,2025-01-10 16:02:37.150,0.173788,2025-01-10 16:01:47.000,2025-01-10 16:02:47.000,eqt_noise_th0_1/20250110T160147Z_20250110T160247Z/KMNF_outputs/X_prediction_results.csv
KEV,HE,KEV,0,0.0,0.0,0.0,,,2025-01-10 18:24:20.890,0.176506,2025-01-10 18:23:44.000,2025-01-10 18:24:44.000,eqt_noise_th0_1/20250110T182344Z_20250110T182444Z/KEV_outputs/X_prediction_results.csv
KU1,HE,KU1,0,0.0,0.0,0.0,,,2025-01-10 18:24:21.938,0.570027,2025-01-10 18:23:58.000,2025-01-10 18:24:58.000,eqt_noise_th0_1/20250110T182358Z_20250110T182458Z/KU1_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,2025-01-11 03:54:56.100,0.10038,,,2025-01-11 03:54:17.000,2025-01-11 03:55:17.000,eqt_noise_th0_1/20250111T035417Z_20250111T035517Z/HEF_outputs/X_prediction_results.csv
HEL1,HE,HEL1,0,0.0,0.0,0.0,,,2025-01-11 14:22:30.166,0.527209,2025-01-11 14:22:10.000,2025-01-11 14:23:10.000,eqt_noise_th0_1/20250111T142210Z_20250111T142310Z/HEL1_outputs/X_prediction_results.csv
OBF8,HE,OBF8,0,0.0,0.0,0.0,2025-01-11 17:23:34.148,0.150893,2025-01-11 17:23:37.348,0.170305,2025-01-11 17:23:29.000,2025-01-11 17:24:29.000,eqt_noise_th0_1/20250111T172329Z_20250111T172429Z/OBF8_outputs/X_prediction_results.csv
KU6,HE,KU6,0,0.0,0.0,0.0,,,2025-01-11 23:22:28.170,0.25004,2025-01-11 23:22:12.000,2025-01-11 23:23:12.000,eqt_noise_th0_1/20250111T232212Z_20250111T232312Z/KU6_outputs/X_prediction_results.csv
KORF,HE,KORF,0,0.0,0.0,0.0,,,2025-01-12 06:45:35.644,0.2749,2025-01-12 06:45:06.000,2025-01-12 06:46:06.000,eqt_noise_th0_1/20250112T064506Z_20250112T064606Z/KORF_outputs/X_prediction_results.csv
