TP,FP,FN,num_preds,num_picks,recall,precision,f1_score,TP_p,TP_s,FP_p,FP_s,FN_p,FN_s,num_preds_p,num_preds_s,num_picks_p,num_picks_s,recall_p,recall_s,precision_p,precision_s,f1_score_p,f1_score_s,network,station,num_rows,num_true_picks,num_predictions
65,12,248,77,313,0.20766773162939298,0.8441558441558441,0.33333333333333337,32,33,7,5,120,128,39,38,152,161,0.21052631578947367,0.20496894409937888,0.8205128205128205,0.868421052631579,0.33507853403141363,0.3316582914572864,HE,KEV,59,313,77
16,8,58,24,74,0.21621621621621623,0.6666666666666666,0.326530612244898,9,7,2,6,31,27,11,13,40,34,0.225,0.20588235294117646,0.8181818181818182,0.5384615384615384,0.35294117647058826,0.2978723404255319,HE,KJNF,14,74,24
39,7,157,46,196,0.1989795918367347,0.8478260869565217,0.32231404958677684,22,17,2,5,70,87,24,22,92,104,0.2391304347826087,0.16346153846153846,0.9166666666666666,0.7727272727272727,0.3793103448275862,0.2698412698412698,HE,TVF,29,196,46
68,7,281,75,349,0.19484240687679083,0.9066666666666666,0.32075471698113206,36,32,1,6,138,143,37,38,174,175,0.20689655172413793,0.18285714285714286,0.972972972972973,0.8421052631578947,0.3412322274881517,0.3004694835680751,HE,MEF,39,349,75
45,6,191,51,236,0.1906779661016949,0.8823529411764706,0.313588850174216,26,19,4,2,83,108,30,21,109,127,0.23853211009174313,0.14960629921259844,0.8666666666666667,0.9047619047619048,0.3741007194244605,0.25675675675675674,HE,TOF,33,237,51
59,1,260,60,319,0.18495297805642633,0.9833333333333333,0.31134564643799467,27,32,0,1,120,140,27,33,147,172,0.1836734693877551,0.18604651162790697,1.0,0.9696969696969697,0.3103448275862069,0.31219512195121957,HE,VRF,36,319,60
50,10,216,60,266,0.18796992481203006,0.8333333333333334,0.3067484662576687,30,20,0,10,113,103,30,30,143,123,0.2097902097902098,0.16260162601626016,1.0,0.6666666666666666,0.3468208092485549,0.26143790849673204,HE,KUNI,30,266,60
56,7,260,63,316,0.17721518987341772,0.8888888888888888,0.29551451187335087,25,31,2,5,122,138,27,36,147,169,0.17006802721088435,0.1834319526627219,0.9259259259259259,0.8611111111111112,0.28735632183908044,0.3024390243902439,HE,KU6,38,316,63
60,10,285,70,345,0.17391304347826086,0.8571428571428571,0.2891566265060241,28,32,7,3,131,154,35,35,159,186,0.1761006289308176,0.17204301075268819,0.8,0.9142857142857143,0.28865979381443296,0.2895927601809955,FN,OLKF,45,345,70
41,12,195,53,236,0.17372881355932204,0.7735849056603774,0.28373702422145336,20,21,6,6,69,126,26,27,89,147,0.2247191011235955,0.14285714285714285,0.7692307692307693,0.7777777777777778,0.34782608695652173,0.24137931034482757,HE,HEF,37,236,53
57,6,284,63,341,0.16715542521994134,0.9047619047619048,0.28217821782178215,31,26,1,5,109,175,32,31,140,201,0.22142857142857142,0.12935323383084577,0.96875,0.8387096774193549,0.36046511627906974,0.22413793103448273,FN,RANF,36,341,63
56,11,274,67,330,0.1696969696969697,0.835820895522388,0.28211586901763225,26,30,5,6,129,145,31,36,155,175,0.16774193548387098,0.17142857142857143,0.8387096774193549,0.8333333333333334,0.2795698924731183,0.28436018957345977,FN,RAJF,46,330,67
32,4,161,36,193,0.16580310880829016,0.8888888888888888,0.2794759825327511,18,14,3,1,75,86,21,15,93,100,0.1935483870967742,0.14,0.8571428571428571,0.9333333333333333,0.3157894736842105,0.24347826086956526,HE,FIA1,22,193,36
16,0,84,16,100,0.16,1.0,0.2758620689655173,8,8,0,0,38,46,8,8,46,54,0.17391304347826086,0.14814814814814814,1.0,1.0,0.29629629629629634,0.25806451612903225,HE,ALAJF,8,100,16
46,8,239,54,285,0.16140350877192983,0.8518518518518519,0.2713864306784661,27,19,0,8,112,127,27,27,139,146,0.19424460431654678,0.13013698630136986,1.0,0.7037037037037037,0.3253012048192771,0.21965317919075145,HE,NUR,30,285,54
44,6,245,50,289,0.1522491349480969,0.88,0.25958702064896755,23,21,0,6,123,122,23,27,146,143,0.15753424657534246,0.14685314685314685,1.0,0.7777777777777778,0.27218934911242604,0.24705882352941178,HE,VUOS,29,289,50
8,4,97,12,105,0.0761904761904762,0.6666666666666666,0.13675213675213674,5,3,1,3,50,47,6,6,55,50,0.09090909090909091,0.06,0.8333333333333334,0.5,0.16393442622950818,0.10714285714285712,HE,OBF8,8,105,12
